name,intake_time,remaining_quantity
Nexium,2026-08-29 08:00:00.000000,27
Nexium,2026-08-30 08:00:00.000000,26
Nexium,2026-08-31 08:00:00.000000,25
Nexium,2026-09-01 08:00:00.000000,24
Nexium,2026-09-02 08:00:00.000000,23
Nexium,2026-09-03 08:00:00.000000,22
Nexium,2026-09-04 08:00:00.000000,21
Nexium,2026-09-05 08:00:00.000000,20
Nexium,2026-09-06 08:00:00.000000,19
Nexium,2026-09-07 08:00:00.000000,18
Nexium,2026-09-08 08:00:00.000000,17
Nexium,2026-09-09 08:00:00.000000,16
Vitamin D3,2026-09-10 07:00:00.000000,59
Nexium,2026-09-10 08:00:00.000000,15
Vitamin D3,2026-09-11 07:00:00.000000,58
Nexium,2026-09-11 08:00:00.000000,14
Vitamin D3,2026-09-12 07:00:00.000000,57
Nexium,2026-09-12 08:00:00.000000,13
Vitamin D3,2026-09-13 07:00:00.000000,56
Nexium,2026-09-13 08:00:00.000000,12
Vitamin D3,2026-09-14 07:00:00.000000,55
Low-Dose Aspirin,2026-09-14 08:00:00.000000,29
Nexium,2026-09-14 08:00:00.000000,11
Calcium + Vitamin D,2026-09-14 09:00:00.000000,44
Vitamin D3,2026-09-15 07:00:00.000000,54
Low-Dose Aspirin,2026-09-15 08:00:00.000000,28
Nexium,2026-09-15 08:00:00.000000,10
Calcium + Vitamin D,2026-09-15 09:00:00.000000,43
Vitamin D3,2026-09-16 07:00:00.000000,53
Low-Dose Aspirin,2026-09-16 08:00:00.000000,27
Nexium,2026-09-16 08:00:00.000000,9
Metformin,2026-09-16 08:00:00.000000,59
Calcium + Vitamin D,2026-09-16 09:00:00.000000,42
Metformin,2026-09-16 20:00:00.000000,58
Levothyroxine,2026-09-17 06:30:00.000000,29
Vitamin D3,2026-09-17 07:00:00.000000,52
Nexium,2026-09-17 08:00:00.000000,8
Low-Dose Aspirin,2026-09-17 08:00:00.000000,26
Lisinopril,2026-09-17 08:00:00.000000,29
Metformin,2026-09-17 08:00:00.000000,57
Calcium + Vitamin D,2026-09-17 09:00:00.000000,41
Metformin,2026-09-17 20:00:00.000000,56
Levothyroxine,2026-09-18 06:30:00.000000,28
Vitamin D3,2026-09-18 07:00:00.000000,51
Nexium,2026-09-18 08:00:00.000000,7
Low-Dose Aspirin,2026-09-18 08:00:00.000000,25
Lisinopril,2026-09-18 08:00:00.000000,28
Metformin,2026-09-18 08:00:00.000000,55
Calcium + Vitamin D,2026-09-18 09:00:00.000000,40
Metformin,2026-09-18 20:00:00.000000,54
Levothyroxine,2026-09-19 06:30:00.000000,27
Vitamin D3,2026-09-19 07:00:00.000000,50
Lisinopril,2026-09-19 08:00:00.000000,27
Metformin,2026-09-19 08:00:00.000000,53
Metformin,2026-09-19 23:10:29.387216,52
Calcium + Vitamin D,2026-09-19 23:10:55.365154,39
Levothyroxine,2026-09-20 09:32:42.184919,26
Nexium,2026-09-20 09:32:44.355010,6
Low-Dose Aspirin,2026-09-20 09:32:46.216415,24
Lisinopril,2026-09-20 10:02:23.238797,26
Vitamin D3,2026-09-20 10:02:33.888546,49
Metformin,2026-09-20 19:35:54.032646,51
Calcium + Vitamin D,2026-09-20 23:27:23.779973,38
Panadol Extra,2026-09-21 09:26:03.662015,23
Nexium,2026-09-21 09:38:50.139256,5
Vitamin D3,2026-09-21 09:39:20.059932,48
Metformin,2026-09-21 09:55:27.028704,50
